today_anomaly_C,predicted_anomaly_C,predicted_temperature_C,extreme_heat_risk
-3,-3.119123397727128,26.646198366168655,False
-2,-2.072744739790931,27.692577024104853,False
-1,-1.0263660818547335,28.738955682041052,False
0,0.02001257608146379,29.785334339977247,False
1,1.0663912340176611,30.831712997913446,False
2,2.1127698919538584,31.878091655849644,False
3,3.159148549890056,32.92447031378584,True
4,4.205527207826253,33.970848971722035,True
5,5.25190586576245,35.01722762965824,True
