date,forecast_date,actual_anomaly_C,actual_forecast_anomaly_C,predicted_anomaly_C,predicted_temperature_C,extreme_heat_risk
2023-01-01,2023-01-02,0.6114699935483827,0.2950889550868432,0.4479889261691545,29.959645548005387,False
2023-01-02,2023-01-03,0.2950889550868432,-0.4140120449131537,0.19510023119877706,29.706756853035007,False
2023-01-03,2023-01-04,-0.4140120449131537,-3.049157506451614,-0.4838976563982492,29.027758965437982,False
2023-01-04,2023-01-05,-3.049157506451614,-3.139416852605464,-3.1000783075336136,26.411578314302616,False
2023-01-05,2023-01-06,-3.139416852605464,-1.4456554679900755,-2.6698762914129928,26.841780330423237,False
2023-01-06,2023-01-07,-1.4456554679900755,-1.3000262756823844,-0.8795902333354059,28.632066388500824,False
2023-01-07,2023-01-08,-1.3000262756823844,-0.8646826602977704,-1.0644284239123443,28.447228197923888,False
2023-01-08,2023-01-09,-0.8646826602977704,0.05416707047146119,-0.6378883759060485,28.873768245930183,False
2023-01-09,2023-01-10,0.05416707047146119,0.8474013012406942,0.23690110910646206,29.748557730942693,False
2023-01-10,2023-01-11,0.8474013012406942,1.396636147394542,0.88398498156766,30.39564160340389,False
2023-01-11,2023-01-12,1.396636147394542,0.7788536473945378,1.3007626751668862,30.812419297003117,False
2023-01-12,2023-01-13,0.7788536473945378,-0.012301891067000525,0.5449776766049521,30.056634298441182,False
2023-01-13,2023-01-14,-0.012301891067000525,-0.7048827372208457,-0.15987244066762685,29.351784181168604,False
2023-01-14,2023-01-15,-0.7048827372208457,-0.607253198759306,-0.7270581891239813,28.78459843271225,False
2023-01-15,2023-01-16,-0.607253198759306,0.22433149354838378,-0.4870105033084536,29.024646118527777,False
2023-01-16,2023-01-17,0.22433149354838378,0.24256460893299803,0.36370430006653665,29.875360921902768,False
2023-01-17,2023-01-18,0.24256460893299803,0.548448147394538,0.21721768378418949,29.72887430562042,False
2023-01-18,2023-01-19,0.548448147394538,1.0619063781637692,0.5336575461064418,30.045314167942674,False
2023-01-19,2023-01-20,1.0619063781637692,0.8099131089329994,1.0100290278471051,30.521685649683334,False
2023-01-20,2023-01-21,0.8099131089329994,0.8498777627791547,0.644121062132578,30.155777683968807,False
2023-01-21,2023-01-22,0.8498777627791547,0.4806023397022301,0.7361101274007921,30.247766749237023,False
2023-01-22,2023-01-23,0.4806023397022301,0.2229480320099242,0.3417513947474023,29.853408016583632,False
2023-01-23,2023-01-24,0.2229480320099242,0.4709049166253081,0.14566876259239164,29.657325384428624,False
2023-01-24,2023-01-25,0.4709049166253081,0.3186422243176139,0.45642355044659305,29.968080172282825,False
2023-01-25,2023-01-26,0.3186422243176139,-0.03203616029776768,0.24773184327614323,29.759388465112373,False
2023-01-26,2023-01-27,-0.03203616029776768,0.8677974935483839,-0.0888956094864675,29.422761012349763,False
2023-01-27,2023-01-28,0.8677974935483839,1.9652904550868442,0.9224898582878125,30.434146480124042,False
2023-01-28,2023-01-29,1.9652904550868442,1.6884349550868478,1.8917296019281191,31.40338622376435,False
2023-01-29,2023-01-30,1.6884349550868478,0.8514567627791543,1.3835272281575952,30.895183849993828,False
2023-01-30,2023-01-31,0.8514567627791543,0.6643751473945372,0.5628519908557228,30.074508612691954,False
2023-01-31,2023-02-01,0.6643751473945372,-3.247185029491707,0.5337329657127974,33.211669572127576,False
2023-02-01,2023-02-02,-3.247185029491707,-2.6606052602609367,-3.5219928823552027,29.15594372405958,False
2023-02-02,2023-02-03,-2.6606052602609367,-1.9095515294917043,-2.1294315310421217,30.54850507537266,False
2023-02-03,2023-02-04,-1.9095515294917043,-1.125556798722478,-1.4603307440998095,31.217605862314972,False
2023-02-04,2023-02-05,-1.125556798722478,-0.35559283718401247,-0.7895073398868249,31.888429266527957,False
2023-02-05,2023-02-06,-0.35559283718401247,-0.17285079872247167,-0.13992386134774543,32.538012745067036,False
2023-02-06,2023-02-07,-0.17285079872247167,-0.3820162987224762,-0.10200339763574567,32.575933208779034,False
2023-02-07,2023-02-08,-0.3820162987224762,-0.41979702949170417,-0.3572529597603539,32.32068364665443,False
2023-02-08,2023-02-09,-0.41979702949170417,1.002230739739062,-0.35514185216895106,32.322794754245834,False
2023-02-09,2023-02-10,1.002230739739062,1.5379803166621429,1.140359656788323,33.8182962632031,False
2023-02-10,2023-02-11,1.5379803166621429,1.5412006628159816,1.4178362431796212,34.095772849594404,False
2023-02-11,2023-02-12,1.5412006628159816,0.5395506628159907,1.314540235321963,33.992476841736746,False
2023-02-12,2023-02-13,0.5395506628159907,-0.16065337564555193,0.2657938938916553,32.94373050030644,False
2023-02-13,2023-02-14,-0.16065337564555193,0.13987350896983486,-0.2674599511480276,32.410476655266756,False
2023-02-14,2023-02-15,0.13987350896983486,1.1524880089698328,0.18641293611810528,32.864349542532885,False
2023-02-15,2023-02-16,1.1524880089698328,1.9203898551236804,1.1861573744266471,33.86409398084143,False
2023-02-16,2023-02-17,1.9203898551236804,1.7910602397390676,1.7880657702491196,34.4660023766639,False
2023-02-17,2023-02-18,1.7910602397390676,1.3937215858929122,1.4998516749837307,34.17778828139851,False
2023-02-18,2023-02-19,1.3937215858929122,1.3431671243544443,1.1098340236652788,33.78777063008006,False
