model,MAE_C,RMSE_C
Persistence,0.6609263327541727,0.9427733127570993
Linear Regression,0.6181584282032601,0.889954462800701
Random Forest,0.6313625901396132,0.8900545715657335
Minimal Linear Regression,0.6143180610062792,0.8869356684158329
