date,climatological_temperature_C
1,29.51165662183623
2,32.67793660641478
3,35.73670009516129
4,38.909169393333336
5,39.60371393126551
6,34.70638872217948
7,30.305653074193547
8,29.89086876662531
9,30.826643291538463
10,32.486069099007445
11,31.47563116294872
12,29.765321763895784
