date,lat,lon,max_temp_C
2015-04-10,16.5,73.5,33.778404
2015-04-10,17.5,73.5,34.9582
2015-04-10,17.5,74.5,36.683987
2015-04-10,17.5,75.5,37.37339
2015-04-10,18.5,73.5,36.449062
2015-04-10,18.5,74.5,37.316467
2015-04-10,18.5,75.5,39.097004
2015-04-10,18.5,76.5,40.00798
2015-04-10,18.5,77.5,39.47679
2015-04-10,19.5,73.5,37.261784
2015-04-10,19.5,74.5,40.393276
2015-04-10,19.5,75.5,40.704185
2015-04-10,19.5,76.5,40.939453
2015-04-10,19.5,77.5,41.601753
2015-04-10,19.5,80.5,39.505264
2015-04-10,20.5,73.5,38.064194
2015-04-10,20.5,74.5,39.41005
2015-04-10,20.5,75.5,41.16098
2015-04-10,20.5,76.5,41.858734
2015-04-10,20.5,77.5,41.63987
2015-04-10,20.5,78.5,41.735237
2015-04-10,20.5,79.5,40.970123
2015-04-10,20.5,80.5,40.727413
2015-04-10,21.5,74.5,39.81562
2015-04-10,21.5,78.5,40.558792
2015-04-10,21.5,79.5,40.37812
